gene,CHR,BP
AT1G11755,1,11755
AT1G13860,1,13860
AT1G16090,1,16090
AT1G19260,1,19260
AT1G19710,1,19710
AT1G20260,1,20260
AT1G20990,1,20990
AT1G22590,1,22590
AT1G24150,1,24150
AT1G24360,1,24360
AT1G25425,1,25425
AT1G27000,1,27000
AT1G28410,1,28410
AT1G28610,1,28610
AT1G29310,1,29310
AT1G30540,1,30540
AT1G30757,1,30757
AT1G32130,1,32130
AT1G32210,1,32210
AT1G32310,1,32310
AT1G33590,1,33590
AT1G33960,1,33960
AT1G35310,1,35310
AT1G35710,1,35710
AT1G51960,1,51960
AT1G52040,1,52040
AT1G54150,1,54150
AT1G54955,1,54955
AT1G60970,1,60970
AT1G62080,1,62080
AT1G65010,1,65010
AT1G65900,1,65900
AT1G66370,1,66370
AT1G66620,1,66620
AT1G66920,1,66920
AT1G67470,1,67470
AT1G67550,1,67550
AT1G69030,1,69030
AT1G70810,1,70810
AT1G74240,1,74240
AT1G76060,1,76060
AT1G76954,1,76954
AT1G77510,1,77510
AT1G77960,1,77960
AT1G78490,1,78490
AT1G79310,1,79310
AT2G04530,2,4530
AT2G05260,2,5260
AT2G11520,2,11520
AT2G13800,2,13800
AT2G15760,2,15760
AT2G15930,2,15930
AT2G16670,2,16670
AT2G16780,2,16780
AT2G17630,2,17630
AT2G17845,2,17845
AT2G18000,2,18000
AT2G18750,2,18750
AT2G18990,2,18990
AT2G19950,2,19950
AT2G20460,2,20460
AT2G20610,2,20610
AT2G20700,2,20700
AT2G21790,2,21790
AT2G22910,2,22910
AT2G24645,2,24645
AT2G25350,2,25350
AT2G27920,2,27920
AT2G30590,2,30590
AT2G30770,2,30770
AT2G31580,2,31580
AT2G32690,2,32690
AT2G34250,2,34250
AT2G34850,2,34850
AT2G36870,2,36870
AT2G39550,2,39550
AT2G39770,2,39770
AT2G39810,2,39810
AT2G40150,2,40150
AT2G40820,2,40820
AT2G40830,2,40830
AT2G41530,2,41530
AT2G44480,2,44480
AT2G44490,2,44490
AT2G46380,2,46380
AT3G01390,3,1390
AT3G02250,3,2250
AT3G02500,3,2500
AT3G02570,3,2570
AT3G02930,3,2930
AT3G03220,3,3220
AT3G03450,3,3450
AT3G05740,3,5740
AT3G05750,3,5750
AT3G06050,3,6050
AT3G10010,3,10010
AT3G12145,3,12145
AT3G13090,3,13090
AT3G13674,3,13674
AT3G16565,3,16565
AT3G17330,3,17330
AT3G18760,3,18760
AT3G20240,3,20240
AT3G21190,3,21190
AT3G21960,3,21960
AT3G22160,3,22160
AT3G23090,3,23090
AT3G24090,3,24090
AT3G24160,3,24160
AT3G24982,3,24982
AT3G25780,3,25780
AT3G27280,3,27280
AT3G29776,3,29776
AT3G44640,3,44640
AT3G44680,3,44680
AT3G45310,3,45310
AT3G46110,3,46110
AT3G46490,3,46490
AT3G50740,3,50740
AT3G50760,3,50760
AT3G51160,3,51160
AT3G51580,3,51580
AT3G51660,3,51660
AT3G52860,3,52860
AT3G53110,3,53110
AT3G54960,3,54960
AT3G55850,3,55850
AT3G57360,3,57360
AT3G58180,3,58180
AT3G58760,3,58760
AT3G59320,3,59320
AT3G61570,3,61570
AT3G61820,3,61820
AT4G00170,4,170
AT4G02060,4,2060
AT4G02390,4,2390
AT4G02730,4,2730
AT4G02980,4,2980
AT4G03115,4,3115
AT4G05590,4,5590
AT4G08170,4,8170
AT4G09360,4,9360
AT4G10000,4,10000
AT4G10100,4,10100
AT4G11060,4,11060
AT4G12423,4,12423
AT4G13070,4,13070
AT4G13495,4,13495
AT4G14880,4,14880
AT4G15233,4,15233
AT4G15270,4,15270
AT4G18140,4,18140
AT4G18250,4,18250
AT4G18690,4,18690
AT4G18950,4,18950
AT4G19030,4,19030
AT4G19380,4,19380
AT4G20330,4,20330
AT4G21865,4,21865
AT4G23200,4,23200
AT4G23270,4,23270
AT4G23470,4,23470
AT4G27860,4,27860
AT4G29160,4,29160
AT4G29740,4,29740
AT4G31230,4,31230
AT4G31770,4,31770
AT4G32980,4,32980
AT4G34490,4,34490
AT4G35180,4,35180
AT4G36360,4,36360
AT4G37660,4,37660
AT4G38560,4,38560
AT5G01010,5,1010
AT5G02520,5,2520
AT5G02940,5,2940
AT5G03630,5,3630
AT5G04560,5,4560
AT5G05370,5,5370
AT5G07240,5,7240
AT5G07300,5,7300
AT5G07650,5,7650
AT5G07780,5,7780
AT5G09680,5,9680
AT5G11600,5,11600
AT5G11790,5,11790
AT5G11970,5,11970
AT5G13060,5,13060
AT5G13550,5,13550
AT5G13960,5,13960
AT5G14330,5,14330
AT5G14700,5,14700
AT5G16710,5,16710
AT5G17370,5,17370
AT5G18220,5,18220
AT5G18750,5,18750
AT5G20320,5,20320
AT5G21900,5,21900
AT5G27395,5,27395
AT5G34965,5,34965
AT5G38190,5,38190
AT5G38310,5,38310
AT5G38690,5,38690
AT5G39000,5,39000
AT5G39790,5,39790
AT5G41140,5,41140
AT5G42850,5,42850
AT5G44635,5,44635
AT5G44720,5,44720
AT5G45000,5,45000
AT5G45380,5,45380
AT5G45420,5,45420
AT5G45480,5,45480
AT5G45510,5,45510
AT5G46270,5,46270
AT5G47250,5,47250
AT5G48720,5,48720
AT5G53330,5,53330
AT5G54170,5,54170
AT5G54700,5,54700
AT5G56000,5,56000
AT5G58030,5,58030
AT5G60250,5,60250
AT5G60790,5,60790
AT5G61412,5,61412
AT5G62890,5,62890
AT5G63000,5,63000
AT5G65280,5,65280
AT1G01530,1,1530
AT1G01630,1,1630
AT1G02140,1,2140
AT1G03740,1,3740
AT1G06640,1,6640
AT1G06960,1,6960
AT1G07020,1,7020
AT1G07270,1,7270
AT1G07370,1,7370
AT1G08040,1,8040
AT1G08050,1,8050
AT1G09300,1,9300
AT1G09415,1,9415
AT1G09486,1,9486
AT1G09870,1,9870
AT1G12760,1,12760
AT1G14000,1,14000
AT1G15910,1,15910
AT1G16000,1,16000
AT1G16360,1,16360
AT1G16500,1,16500
AT1G17410,1,17410
AT1G18310,1,18310
AT1G18390,1,18390
AT1G18600,1,18600
AT1G20350,1,20350
AT1G21120,1,21120
AT1G21240,1,21240
AT1G21525,1,21525
AT1G24340,1,24340
AT1G26300,1,26300
AT1G26750,1,26750
AT1G26940,1,26940
AT1G27435,1,27435
AT1G31550,1,31550
AT1G35405,1,35405
AT1G35530,1,35530
AT1G36922,1,36922
AT1G43060,1,43060
AT1G47360,1,47360
AT1G47930,1,47930
AT1G51070,1,51070
AT1G51630,1,51630
AT1G51780,1,51780
AT1G51920,1,51920
AT1G52420,1,52420
AT1G52620,1,52620
AT1G52910,1,52910
AT1G53390,1,53390
AT1G53530,1,53530
AT1G53850,1,53850
AT1G55150,1,55150
AT1G56670,1,56670
AT1G61570,1,61570
AT1G62000,1,62000
AT1G63170,1,63170
AT1G63940,1,63940
AT1G67620,1,67620
AT1G67950,1,67950
AT1G68730,1,68730
AT1G69550,1,69550
AT1G70690,1,70690
AT1G71820,1,71820
AT1G72700,1,72700
AT1G73480,1,73480
AT1G73810,1,73810
AT1G74088,1,74088
AT1G74140,1,74140
AT1G74410,1,74410
AT1G74950,1,74950
AT1G75140,1,75140
AT1G76965,1,76965
AT1G77130,1,77130
AT1G77360,1,77360
AT1G77405,1,77405
AT1G77750,1,77750
AT1G78870,1,78870
AT1G78920,1,78920
AT1G79340,1,79340
AT2G01980,2,1980
AT2G02770,2,2770
AT2G04100,2,4100
AT2G06550,2,6550
AT2G17060,2,17060
AT2G17520,2,17520
AT2G19160,2,19160
AT2G19630,2,19630
AT2G22140,2,22140
AT2G24692,2,24692
AT2G26190,2,26190
AT2G26975,2,26975
AT2G28080,2,28080
AT2G28140,2,28140
AT2G29710,2,29710
AT2G31865,2,31865
AT2G33585,2,33585
AT2G36620,2,36620
AT2G36750,2,36750
AT2G37940,2,37940
AT2G37970,2,37970
AT2G39250,2,39250
AT2G41312,2,41312
AT2G43350,2,43350
AT2G43570,2,43570
AT2G44580,2,44580
AT2G44660,2,44660
AT2G46430,2,46430
AT2G47470,2,47470
AT3G02820,3,2820
AT3G03900,3,3900
AT3G04600,3,4600
AT3G04717,3,4717
AT3G05480,3,5480
AT3G07270,3,7270
AT3G07610,3,7610
AT3G10330,3,10330
AT3G11010,3,11010
AT3G11820,3,11820
AT3G12360,3,12360
AT3G13510,3,13510
AT3G15180,3,15180
AT3G17220,3,17220
AT3G17910,3,17910
AT3G18060,3,18060
AT3G19400,3,19400
AT3G19540,3,19540
AT3G20050,3,20050
AT3G20410,3,20410
AT3G21640,3,21640
AT3G23290,3,23290
AT3G26170,3,26170
AT3G28910,3,28910
AT3G29030,3,29030
AT3G43442,3,43442
AT3G44830,3,44830
AT3G44850,3,44850
AT3G44860,3,44860
AT3G47750,3,47750
AT3G48640,3,48640
AT3G48720,3,48720
AT3G48820,3,48820
AT3G49320,3,49320
AT3G50460,3,50460
AT3G50620,3,50620
AT3G50950,3,50950
AT3G51970,3,51970
AT3G52370,3,52370
AT3G53610,3,53610
AT3G55940,3,55940
AT3G56800,3,56800
AT3G57630,3,57630
AT3G57785,3,57785
AT3G58600,3,58600
AT3G60950,3,60950
AT3G61610,3,61610
AT3G62250,3,62250
AT3G62360,3,62360
AT4G00360,4,360
AT4G00585,4,585
AT4G00760,4,760
AT4G01980,4,1980
AT4G02340,4,2340
AT4G02380,4,2380
AT4G02620,4,2620
AT4G04220,4,4220
AT4G08390,4,8390
AT4G08580,4,8580
AT4G10500,4,10500
AT4G11120,4,11120
AT4G13430,4,13430
AT4G13570,4,13570
AT4G13840,4,13840
AT4G15500,4,15500
AT4G16430,4,16430
AT4G17760,4,17760
AT4G23330,4,23330
AT4G24420,4,24420
AT4G25840,4,25840
AT4G26410,4,26410
AT4G27500,4,27500
AT4G28340,4,28340
AT4G29220,4,29220
AT4G29520,4,29520
AT4G30090,4,30090
AT4G30840,4,30840
AT4G31210,4,31210
AT4G31600,4,31600
AT4G32215,4,32215
AT4G33060,4,33060
AT4G35550,4,35550
AT4G38150,4,38150
AT4G39170,4,39170
AT5G04920,5,4920
AT5G07320,5,7320
AT5G07820,5,7820
AT5G08020,5,8020
AT5G10570,5,10570
AT5G11250,5,11250
AT5G16486,5,16486
AT5G23160,5,23160
AT5G23395,5,23395
AT5G23830,5,23830
AT5G25230,5,25230
AT5G25750,5,25750
AT5G27490,5,27490
AT5G27660,5,27660
AT5G28698,5,28698
AT5G37530,5,37530
AT5G37590,5,37590
AT5G38096,5,38096
AT5G38130,5,38130
AT5G38240,5,38240
AT5G39020,5,39020
AT5G40840,5,40840
AT5G41380,5,41380
AT5G42790,5,42790
AT5G42830,5,42830
AT5G44070,5,44070
AT5G44585,5,44585
AT5G45500,5,45500
AT5G46920,5,46920
AT5G48090,5,48090
AT5G48880,5,48880
AT5G49555,5,49555
AT5G49570,5,49570
AT5G49580,5,49580
AT5G51400,5,51400
AT5G51480,5,51480
AT5G52070,5,52070
AT5G52220,5,52220
AT5G52390,5,52390
AT5G53070,5,53070
AT5G54900,5,54900
AT5G55460,5,55460
AT5G59800,5,59800
AT5G61530,5,61530
AT5G61970,5,61970
AT5G65270,5,65270
AT5G66250,5,66250
AT5G66320,5,66320
AT5G66860,5,66860
AT5G67100,5,67100
AT1G01800,1,1800
AT1G02440,1,2440
AT1G02930,1,2930
AT1G03650,1,3650
AT1G03760,1,3760
AT1G03980,1,3980
AT1G06148,1,6148
AT1G07060,1,7060
AT1G07210,1,7210
AT1G07280,1,7280
AT1G07890,1,7890
AT1G08900,1,8900
AT1G09850,1,9850
AT1G10920,1,10920
AT1G11270,1,11270
AT1G11320,1,11320
AT1G11420,1,11420
AT1G11890,1,11890
AT1G12830,1,12830
AT1G13020,1,13020
AT1G13210,1,13210
AT1G14090,1,14090
AT1G14250,1,14250
AT1G16060,1,16060
AT1G16970,1,16970
AT1G17290,1,17290
AT1G18630,1,18630
AT1G18710,1,18710
AT1G19330,1,19330
AT1G21330,1,21330
AT1G22270,1,22270
AT1G22300,1,22300
AT1G23100,1,23100
AT1G24350,1,24350
AT1G26960,1,26960
AT1G27350,1,27350
AT1G28890,1,28890
AT1G30260,1,30260
AT1G30280,1,30280
AT1G30900,1,30900
AT1G32010,1,32010
AT1G32570,1,32570
AT1G33030,1,33030
AT1G33950,1,33950
AT1G35730,1,35730
AT1G36280,1,36280
AT1G36920,1,36920
AT1G47915,1,47915
AT1G48210,1,48210
AT1G48340,1,48340
AT1G48420,1,48420
AT1G48830,1,48830
AT1G52315,1,52315
AT1G52550,1,52550
AT1G52720,1,52720
AT1G54010,1,54010
AT1G54220,1,54220
AT1G55140,1,55140
AT1G55200,1,55200
AT1G55910,1,55910
AT1G58200,1,58200
AT1G59820,1,59820
AT1G59950,1,59950
AT1G60000,1,60000
AT1G60810,1,60810
AT1G61415,1,61415
AT1G61430,1,61430
AT1G61770,1,61770
AT1G61870,1,61870
AT1G62130,1,62130
AT1G63050,1,63050
AT1G65840,1,65840
AT1G65860,1,65860
AT1G67180,1,67180
AT1G67320,1,67320
AT1G68120,1,68120
AT1G70160,1,70160
AT1G71220,1,71220
AT1G72500,1,72500
AT1G72900,1,72900
AT1G73500,1,73500
AT1G74100,1,74100
AT1G74360,1,74360
AT1G74420,1,74420
AT1G76360,1,76360
AT1G77460,1,77460
AT1G78210,1,78210
AT1G78370,1,78370
AT1G78680,1,78680
AT1G79680,1,79680
AT2G02050,2,2050
AT2G02340,2,2340
AT2G02350,2,2350
AT2G02510,2,2510
AT2G03350,2,3350
AT2G03972,2,3972
AT2G05320,2,5320
AT2G05518,2,5518
AT2G06050,2,6050
AT2G07180,2,7180
AT2G12935,2,12935
AT2G13470,2,13470
AT2G14450,2,14450
AT2G14580,2,14580
AT2G15130,2,15130
AT2G15340,2,15340
AT2G15400,2,15400
AT2G15555,2,15555
AT2G16530,2,16530
AT2G16600,2,16600
AT2G17110,2,17110
AT2G17830,2,17830
AT2G19680,2,19680
AT2G20142,2,20142
AT2G20530,2,20530
AT2G20600,2,20600
AT2G21500,2,21500
AT2G21650,2,21650
AT2G21730,2,21730
AT2G23320,2,23320
AT2G23890,2,23890
AT2G24850,2,24850
AT2G25470,2,25470
AT2G26200,2,26200
AT2G26770,2,26770
AT2G29990,2,29990
AT2G30990,2,30990
AT2G31790,2,31790
AT2G32580,2,32580
AT2G32810,2,32810
AT2G33120,2,33120
AT2G33180,2,33180
AT2G33750,2,33750
AT2G34150,2,34150
AT2G34490,2,34490
AT2G36430,2,36430
AT2G38610,2,38610
AT2G39330,2,39330
AT2G40550,2,40550
AT2G41110,2,41110
AT2G42390,2,42390
AT2G42480,2,42480
AT2G45200,2,45200
AT2G46440,2,46440
AT2G47230,2,47230
AT3G01050,3,1050
AT3G01280,3,1280
AT3G01720,3,1720
AT3G02740,3,2740
AT3G03610,3,3610
AT3G04210,3,4210
AT3G05580,3,5580
AT3G06160,3,6160
AT3G07680,3,7680
AT3G07990,3,7990
AT3G08580,3,8580
AT3G08710,3,8710
AT3G09480,3,9480
AT3G09740,3,9740
AT3G12990,3,12990
AT3G14310,3,14310
AT3G14840,3,14840
AT3G15260,3,15260
AT3G16330,3,16330
AT3G16560,3,16560
AT3G16640,3,16640
AT3G17225,3,17225
AT3G17840,3,17840
AT3G19660,3,19660
AT3G25540,3,25540
AT3G26100,3,26100
AT3G27610,3,27610
AT3G27640,3,27640
AT3G28890,3,28890
AT3G32377,3,32377
AT3G42230,3,42230
AT3G43810,3,43810
AT3G44350,3,44350
AT3G45260,3,45260
AT3G46510,3,46510
AT3G47040,3,47040
AT3G47760,3,47760
AT3G48600,3,48600
AT3G48770,3,48770
AT3G49680,3,49680
AT3G49980,3,49980
AT3G50170,3,50170
AT3G52630,3,52630
AT3G54100,3,54100
AT3G56000,3,56000
AT3G56270,3,56270
AT3G56870,3,56870
AT3G57080,3,57080
AT3G57270,3,57270
AT3G57460,3,57460
AT3G59020,3,59020
AT3G59600,3,59600
AT3G60490,3,60490
AT3G60800,3,60800
AT3G60920,3,60920
AT3G66654,3,66654
AT4G00026,4,26
AT4G01110,4,1110
AT4G01750,4,1750
AT4G02110,4,2110
AT4G04040,4,4040
AT4G04190,4,4190
AT4G05510,4,5510
AT4G06748,4,6748
AT4G09455,4,9455
AT4G10390,4,10390
AT4G11370,4,11370
AT4G13500,4,13500
AT4G13564,4,13564
AT4G14500,4,14500
AT4G14650,4,14650
AT4G15130,4,15130
AT4G15440,4,15440
AT4G18990,4,18990
AT4G21070,4,21070
AT4G21890,4,21890
AT4G21903,4,21903
AT4G22530,4,22530
AT4G22910,4,22910
AT4G23020,4,23020
AT4G23271,4,23271
AT4G23610,4,23610
AT4G23760,4,23760
AT4G24170,4,24170
AT4G25660,4,25660
AT4G27570,4,27570
AT4G27740,4,27740
AT4G29210,4,29210
AT4G29548,4,29548
AT4G29660,4,29660
AT4G29730,4,29730
AT4G30230,4,30230
AT4G30480,4,30480
AT4G31490,4,31490
AT4G33050,4,33050
AT4G34950,4,34950
AT4G35600,4,35600
AT4G37100,4,37100
AT4G38890,4,38890
AT4G39380,4,39380
AT5G01970,5,1970
AT5G02470,5,2470
AT5G03020,5,3020
AT5G03560,5,3560
AT5G03820,5,3820
AT5G04160,5,4160
AT5G05610,5,5610
AT5G06260,5,6260
AT5G06390,5,6390
AT5G06810,5,6810
AT5G07150,5,7150
AT5G07340,5,7340
AT5G08335,5,8335
AT5G08370,5,8370
AT5G09980,5,9980
AT5G10420,5,10420
AT5G11260,5,11260
AT5G11460,5,11460
AT5G11610,5,11610
AT5G12340,5,12340
AT5G13210,5,13210
AT5G16690,5,16690
AT5G19370,5,19370
AT5G19460,5,19460
AT5G19485,5,19485
AT5G22540,5,22540
AT5G22780,5,22780
AT5G23250,5,23250
AT5G23520,5,23520
AT5G23880,5,23880
AT5G24020,5,24020
AT5G24270,5,24270
AT5G24530,5,24530
AT5G24655,5,24655
AT5G24770,5,24770
AT5G25610,5,25610
AT5G25940,5,25940
AT5G26630,5,26630
AT5G34780,5,34780
AT5G35080,5,35080
AT5G35200,5,35200
AT5G35520,5,35520
AT5G35590,5,35590
AT5G40830,5,40830
AT5G41000,5,41000
AT5G42040,5,42040
AT5G42530,5,42530
AT5G43120,5,43120
AT5G43160,5,43160
AT5G44100,5,44100
AT5G44570,5,44570
AT5G45740,5,45740
AT5G46230,5,46230
AT5G48350,5,48350
AT5G51560,5,51560
AT5G52730,5,52730
AT5G52810,5,52810
AT5G53592,5,53592
AT5G54145,5,54145
AT5G54300,5,54300
AT5G55960,5,55960
AT5G56230,5,56230
AT5G56490,5,56490
AT5G56990,5,56990
AT5G58500,5,58500
AT5G61220,5,61220
AT5G61460,5,61460
AT5G64510,5,64510
AT5G64800,5,64800
AT5G65010,5,65010
AT5G65205,5,65205
AT5G66310,5,66310
AT5G67220,5,67220
AT5G67310,5,67310
AT1G01690,1,1690
AT1G01700,1,1700
AT1G03630,1,3630
AT1G04600,1,4600
AT1G05205,1,5205
AT1G06010,1,6010
AT1G06160,1,6160
AT1G06210,1,6210
AT1G06800,1,6800
AT1G08830,1,8830
AT1G09630,1,9630
AT1G09932,1,9932
AT1G11560,1,11560
AT1G11800,1,11800
AT1G12360,1,12360
AT1G13370,1,13370
AT1G13820,1,13820
AT1G15970,1,15970
AT1G16110,1,16110
AT1G16470,1,16470
AT1G18140,1,18140
AT1G19250,1,19250
AT1G20620,1,20620
AT1G22340,1,22340
AT1G22650,1,22650
AT1G22680,1,22680
AT1G25390,1,25390
AT1G25440,1,25440
AT1G26090,1,26090
AT1G29300,1,29300
AT1G30460,1,30460
AT1G30920,1,30920
AT1G35650,1,35650
AT1G35840,1,35840
AT1G44674,1,44674
AT1G44890,1,44890
AT1G44900,1,44900
AT1G48160,1,48160
AT1G50170,1,50170
AT1G50770,1,50770
AT1G51530,1,51530
AT1G52600,1,52600
AT1G53080,1,53080
AT1G53110,1,53110
AT1G54020,1,54020
AT1G54360,1,54360
AT1G58210,1,58210
AT1G59560,1,59560
AT1G59865,1,59865
AT1G60270,1,60270
AT1G61150,1,61150
AT1G62305,1,62305
AT1G63010,1,63010
AT1G64170,1,64170
AT1G64385,1,64385
AT1G64400,1,64400
AT1G64880,1,64880
AT1G66070,1,66070
AT1G66380,1,66380
AT1G66460,1,66460
AT1G66700,1,66700
AT1G66930,1,66930
AT1G67650,1,67650
AT1G67850,1,67850
AT1G69580,1,69580
AT1G70490,1,70490
AT1G70830,1,70830
AT1G71080,1,71080
AT1G73650,1,73650
AT1G74060,1,74060
AT1G74920,1,74920
AT1G77740,1,77740
AT1G77940,1,77940
AT1G78020,1,78020
AT1G78690,1,78690
AT1G79330,1,79330
AT1G79470,1,79470
AT1G79820,1,79820
AT1G80050,1,80050
AT1G80420,1,80420
AT2G01910,2,1910
AT2G02500,2,2500
AT2G03290,2,3290
AT2G03760,2,3760
AT2G04090,2,4090
AT2G04495,2,4495
AT2G04515,2,4515
AT2G06110,2,6110
AT2G12290,2,12290
AT2G12550,2,12550
AT2G13450,2,13450
AT2G14750,2,14750
AT2G15320,2,15320
AT2G16750,2,16750
AT2G17036,2,17036
AT2G17040,2,17040
AT2G17780,2,17780
AT2G18500,2,18500
AT2G19190,2,19190
AT2G19330,2,19330
AT2G19460,2,19460
AT2G21540,2,21540
AT2G22330,2,22330
AT2G23560,2,23560
AT2G25290,2,25290
AT2G26400,2,26400
AT2G26910,2,26910
AT2G26980,2,26980
AT2G27030,2,27030
AT2G29370,2,29370
AT2G29540,2,29540
AT2G29960,2,29960
AT2G30830,2,30830
AT2G31880,2,31880
AT2G32160,2,32160
AT2G34010,2,34010
AT2G34260,2,34260
AT2G35650,2,35650
AT2G35720,2,35720
AT2G37250,2,37250
AT2G37400,2,37400
AT2G38630,2,38630
AT2G39220,2,39220
AT2G43540,2,43540
AT2G44380,2,44380
AT2G44410,2,44410
AT2G45135,2,45135
AT2G45540,2,45540
AT3G01040,3,1040
AT3G02020,3,2020
AT3G02690,3,2690
AT3G04710,3,4710
AT3G04820,3,4820
AT3G05685,3,5685
AT3G06320,3,6320
AT3G06500,3,6500
AT3G06940,3,6940
AT3G07170,3,7170
AT3G08640,3,8640
AT3G09530,3,9530
AT3G11090,3,11090
AT3G12030,3,12030
AT3G12040,3,12040
AT3G12740,3,12740
AT3G13470,3,13470
AT3G13580,3,13580
AT3G13950,3,13950
AT3G14290,3,14290
AT3G14350,3,14350
AT3G17410,3,17410
AT3G18100,3,18100
AT3G18330,3,18330
AT3G18690,3,18690
AT3G18777,3,18777
AT3G18830,3,18830
AT3G21530,3,21530
AT3G24350,3,24350
AT3G26115,3,26115
AT3G26500,3,26500
AT3G26670,3,26670
AT3G27930,3,27930
AT3G28270,3,28270
AT3G30720,3,30720
AT3G43574,3,43574
AT3G43670,3,43670
AT3G45910,3,45910
AT3G46530,3,46530
AT3G47700,3,47700
AT3G47820,3,47820
AT3G47930,3,47930
AT3G48100,3,48100
AT3G48760,3,48760
AT3G50270,3,50270
AT3G51260,3,51260
AT3G52750,3,52750
AT3G52910,3,52910
AT3G53490,3,53490
AT3G54270,3,54270
AT3G54300,3,54300
AT3G54600,3,54600
AT3G57280,3,57280
AT3G58200,3,58200
AT3G58460,3,58460
AT3G58730,3,58730
AT3G58990,3,58990
AT3G60176,3,60176
AT3G60966,3,60966
AT3G61030,3,61030
AT3G61130,3,61130
AT3G61580,3,61580
AT3G62030,3,62030
AT3G63270,3,63270
AT4G00030,4,30
AT4G01700,4,1700
AT4G02530,4,2530
AT4G02930,4,2930
AT4G04320,4,4320
AT4G08570,4,8570
AT4G08810,4,8810
AT4G11170,4,11170
AT4G11840,4,11840
AT4G12030,4,12030
AT4G12250,4,12250
AT4G13040,4,13040
AT4G13615,4,13615
AT4G13770,4,13770
AT4G13820,4,13820
AT4G14200,4,14200
AT4G14365,4,14365
AT4G14400,4,14400
AT4G14420,4,14420
AT4G15053,4,15053
AT4G17895,4,17895
AT4G18740,4,18740
AT4G20110,4,20110
AT4G21500,4,21500
AT4G22790,4,22790
AT4G23160,4,23160
AT4G23460,4,23460
AT4G23530,4,23530
AT4G25000,4,25000
AT4G25020,4,25020
AT4G25100,4,25100
AT4G25300,4,25300
AT4G25950,4,25950
AT4G27585,4,27585
AT4G27970,4,27970
AT4G28330,4,28330
AT4G29000,4,29000
AT4G30140,4,30140
AT4G31480,4,31480
AT4G31650,4,31650
AT4G32040,4,32040
AT4G38020,4,38020
AT4G38260,4,38260
AT4G38310,4,38310
AT5G01120,5,1120
AT5G01590,5,1590
AT5G01620,5,1620
AT5G01900,5,1900
AT5G01950,5,1950
AT5G02920,5,2920
AT5G03760,5,3760
AT5G03850,5,3850
AT5G06240,5,6240
AT5G06590,5,6590
AT5G07350,5,7350
AT5G07580,5,7580
AT5G08080,5,8080
AT5G09270,5,9270
AT5G09830,5,9830
AT5G09995,5,9995
AT5G10360,5,10360
AT5G11310,5,11310
AT5G11410,5,11410
AT5G11590,5,11590
AT5G11750,5,11750
AT5G13940,5,13940
AT5G14200,5,14200
AT5G15650,5,15650
AT5G16870,5,16870
AT5G17700,5,17700
AT5G18210,5,18210
AT5G18340,5,18340
AT5G18360,5,18360
AT5G18730,5,18730
AT5G19240,5,19240
AT5G20060,5,20060
AT5G20480,5,20480
AT5G22390,5,22390
AT5G22400,5,22400
AT5G23300,5,23300
AT5G23420,5,23420
AT5G24280,5,24280
AT5G24290,5,24290
AT5G25390,5,25390
AT5G25920,5,25920
AT5G26030,5,26030
AT5G26660,5,26660
AT5G28237,5,28237
AT5G28540,5,28540
AT5G32460,5,32460
AT5G33300,5,33300
AT5G35344,5,35344
AT5G35605,5,35605
AT5G37980,5,37980
AT5G38120,5,38120
AT5G39320,5,39320
AT5G39785,5,39785
AT5G40280,5,40280
AT5G40800,5,40800
AT5G41210,5,41210
AT5G41550,5,41550
AT5G42570,5,42570
AT5G43900,5,43900
AT5G47130,5,47130
AT5G47240,5,47240
AT5G47770,5,47770
AT5G47840,5,47840
AT5G48660,5,48660
AT5G48960,5,48960
AT5G52850,5,52850
AT5G54850,5,54850
AT5G55940,5,55940
AT5G58930,5,58930
AT5G59480,5,59480
AT5G60280,5,60280
AT5G60620,5,60620
AT5G61020,5,61020
AT5G61730,5,61730
AT5G61880,5,61880
AT5G63450,5,63450
AT5G63510,5,63510
AT5G63680,5,63680
AT5G64110,5,64110
AT5G64500,5,64500
AT5G64680,5,64680
AT5G64910,5,64910
AT5G66060,5,66060
AT5G66900,5,66900
AT5G67150,5,67150
AT5G67510,5,67510
AT1G01830,1,1830
AT1G02250,1,2250
AT1G02770,1,2770
AT1G03106,1,3106
AT1G03830,1,3830
AT1G04020,1,4020
AT1G04555,1,4555
AT1G04680,1,4680
AT1G04730,1,4730
AT1G04870,1,4870
AT1G05730,1,5730
AT1G05850,1,5850
AT1G07220,1,7220
AT1G07500,1,7500
AT1G07630,1,7630
AT1G09520,1,9520
AT1G09580,1,9580
AT1G09645,1,9645
AT1G09920,1,9920
AT1G09970,1,9970
AT1G10350,1,10350
AT1G10360,1,10360
AT1G10470,1,10470
AT1G10670,1,10670
AT1G11490,1,11490
AT1G11790,1,11790
AT1G11940,1,11940
AT1G13250,1,13250
AT1G13430,1,13430
AT1G15570,1,15570
AT1G15720,1,15720
AT1G16410,1,16410
AT1G16520,1,16520
AT1G17615,1,17615
AT1G17830,1,17830
AT1G18070,1,18070
AT1G18410,1,18410
AT1G18570,1,18570
AT1G20720,1,20720
AT1G21320,1,21320
AT1G21650,1,21650
AT1G22350,1,22350
AT1G22450,1,22450
AT1G22970,1,22970
AT1G22980,1,22980
AT1G26420,1,26420
AT1G26530,1,26530
AT1G27390,1,27390
AT1G28110,1,28110
AT1G28140,1,28140
AT1G29240,1,29240
AT1G31070,1,31070
AT1G31540,1,31540
AT1G31710,1,31710
AT1G33260,1,33260
