"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT3G13000",9567,0.37,"ubiquinone biosynthesis protein (Protein of unknown function, DUF547)(AT3G13000)","AT3G13000"
"AT3G13190",6970,0.37,"WEB family protein (DUF827)(AT3G13190)","AT3G13190"
"AT3G13360",9819,0.37,"WPP domain interacting protein 3(WIP3)","WIP3"
"AT3G13690",9905,0.37,"kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT3G13690)","AT3G13690"
"AT3G23690",9531,0.37,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G23690)","AT3G23690"
"AT3G25470",9560,0.37,"bacterial hemolysin-like protein(AT3G25470)","AT3G25470"
"AT3G56220",9533,0.37,"transcription regulator(AT3G56220)","AT3G56220"
"AT4G02050",9874,0.37,"sugar transporter protein 7(STP7)","STP7"
"AT4G10910",9832,0.37,"hypothetical protein(AT4G10910)","AT4G10910"
"AT4G13750",9587,0.37,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(NOV)","NOV"
"AT4G13980",9524,0.37,"winged-helix DNA-binding transcription factor family protein(AT-HSFA5)","AT-HSFA5"
"AT4G15000",9825,0.37,"Ribosomal L27e protein family(AT4G15000)","AT4G15000"
"AT4G16355",9518,0.37,"ncRNA(AT4G16355)","AT4G16355"
"AT4G17640",9543,0.37,"casein kinase II beta chain 2(CKB2)","CKB2"
"AT4G26190",9880,0.37,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G26190)","AT4G26190"
"AT4G31380",9584,0.37,"flowering-promoting factor-like protein(FLP1)","FLP1"
"AT4G32350",9586,0.37,"Regulator of Vps4 activity in the MVB pathway protein(AT4G32350)","AT4G32350"
"AT5G07870",9588,0.37,"HXXXD-type acyl-transferase family protein(AT5G07870)","AT5G07870"
"AT5G08210",9588,0.37,"ncRNA(MIR834)","MIR834"
"AT5G14800",9567,0.37,"pyrroline-5- carboxylate (P5C) reductase(P5CR)","P5CR"
"AT5G15030",8357,0.37,"paired amphipathic helix Sin3-like protein(AT5G15030)","AT5G15030"
"AT5G25340",9944,0.37,"Ubiquitin-like superfamily protein(AT5G25340)","AT5G25340"
"AT5G26720",9874,0.37,"ubiquitin carboxyl-terminal hydrolase-like protein(AT5G26720)","AT5G26720"
"AT5G35410",9905,0.37,"Protein kinase superfamily protein(SOS2)","SOS2"
"AT5G51390",9526,0.37,"hypothetical protein(AT5G51390)","AT5G51390"
"AT5G56970",8357,0.37,"cytokinin oxidase 3(CKX3)","CKX3"
"AT1G07390",9587,0.36,"receptor like protein 1(RLP1)","RLP1"
"AT1G07480",9845,0.36,"Transcription factor IIA, alpha/beta subunit(AT1G07480)","AT1G07480"
"AT1G08520",9871,0.36,"ALBINA 1(ALB1)","ALB1"
"AT1G12680",9880,0.36,"phosphoenolpyruvate carboxylase-related kinase 2(PEPKR2)","PEPKR2"
"AT1G15380",9522,0.36,"Lactoylglutathione lyase / glyoxalase I family protein(GLYI4)","GLYI4"
"AT1G19420",9587,0.36,"miscRNA(AT1G19420)","AT1G19420"
"AT1G19430",9588,0.36,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G19430)","AT1G19430"
"AT1G24265",6970,0.36,"bZIP transcription factor, putative (DUF1664)(AT1G24265)","AT1G24265"
"AT1G28490",9846,0.36,"syntaxin of plants 61(SYP61)","SYP61"
"AT1G32710",9587,0.36,"Cytochrome c oxidase, subunit Vib family protein(AT1G32710)","AT1G32710"
"AT1G51405",9547,0.36,"myosin-like protein(AT1G51405)","AT1G51405"
"AT1G53630",9598,0.36,"hypothetical protein(AT1G53630)","AT1G53630"
"AT1G61780",9871,0.36,"postsynaptic protein-like protein(AT1G61780)","AT1G61780"
"AT1G67265",9533,0.36,"ROTUNDIFOLIA like 21(RTFL21)","RTFL21"
"AT1G67530",8357,0.36,"ARM repeat superfamily protein(AT1G67530)","AT1G67530"
"AT1G78150",9526,0.36,"N-lysine methyltransferase(AT1G78150)","AT1G78150"
"AT2G15270",9557,0.36,"PRKR-interacting protein(AT2G15270)","AT2G15270"
"AT2G16980",9855,0.36,"Major facilitator superfamily protein(AT2G16980)","AT2G16980"
"AT2G19670",9518,0.36,"protein arginine methyltransferase 1A(PRMT1A)","PRMT1A"
"AT2G20100",9526,0.36,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G20100)","AT2G20100"
"AT2G25580",9846,0.36,"Tetratricopeptide repeat (TPR)-like superfamily protein(MEF8)","MEF8"
"AT2G28060",9598,0.36,"5'-AMP-activated protein kinase beta-2 subunit protein(AT2G28060)","AT2G28060"
"AT2G29200",9846,0.36,"pumilio 1(PUM1)","PUM1"
"AT2G32710",9524,0.36,"Cyclin-dependent kinase inhibitor family protein(AT2G32710)","AT2G32710"
"AT2G33205",9586,0.36,"Serinc-domain containing serine and sphingolipid biosynthesis protein(AT2G33205)","AT2G33205"
"AT2G38255",9518,0.36,"hypothetical protein (DUF239)(AT2G38255)","AT2G38255"
"AT2G38600",9518,0.36,"HAD superfamily, subfamily IIIB acid phosphatase(AT2G38600)","AT2G38600"
"AT2G39350",9526,0.36,"ABC-2 type transporter family protein(ABCG1)","ABCG1"
"AT2G43030",9944,0.36,"Ribosomal protein L3 family protein(AT2G43030)","AT2G43030"
"AT2G45450",9524,0.36,"binding protein(ZPR1)","ZPR1"
"AT2G45660",9844,0.36,"AGAMOUS-like 20(AGL20)","SOC1"
"AT3G01015",9522,0.36,"TPX2 (targeting protein for Xklp2) protein family(AT3G01015)","TPX2"
"AT3G02040",9524,0.36,"senescence-related gene 3(SRG3)","SRG3"
"AT3G03240",9844,0.36,"alpha/beta-Hydrolases superfamily protein(AT3G03240)","AT3G03240"
"AT3G04660",9844,0.36,"F-box and associated interaction domains-containing protein(AT3G04660)","AT3G04660"
"AT3G06980",9880,0.36,"DEA(D/H)-box RNA helicase family protein(AT3G06980)","AT3G06980"
"AT3G21110",9584,0.36,"purin 7(PUR7)","PUR7"
"AT3G44200",9593,0.36,"serine/threonine-protein kinase NEK5(NEK6)","NEK6"
"AT3G44490",9560,0.36,"histone deacetylase 17(hda17)","hda17"
"AT3G46020",9871,0.36,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G46020)","AT3G46020"
"AT3G49910",9598,0.36,"Translation protein SH3-like family protein(AT3G49910)","AT3G49910"
"AT3G51040",9819,0.36,"RTE1-homolog(RTH)","RTH"
"AT3G51840",6970,0.36,"acyl-CoA oxidase 4(ACX4)","ACX4"
"AT3G56870",6970,0.36,"hypothetical protein(AT3G56870)","AT3G56870"
"AT3G60030",9524,0.36,"squamosa promoter-binding protein-like 12(SPL12)","SPL12"
"AT4G15890",9598,0.36,"binding protein(AT4G15890)","AT4G15890"
"AT4G18550",9855,0.36,"alpha/beta-Hydrolases superfamily protein(DSEL)","DSEL"
"AT4G20220",9543,0.36,"Reverse transcriptase (RNA-dependent DNA polymerase)(AT4G20220)","AT4G20220"
"AT4G26110",9825,0.36,"nucleosome assembly protein1;1(NAP1;1)","NAP1;1"
"AT4G29060",9526,0.36,"elongation factor Ts family protein(emb2726)","emb2726"
"AT4G30470",9846,0.36,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G30470)","AT4G30470"
"AT4G34230",9944,0.36,"cinnamyl alcohol dehydrogenase 5(CAD5)","CAD5"
"AT4G35520",9587,0.36,"MUTL protein homolog 3(MLH3)","MLH3"
"AT4G39790",9871,0.36,"bZIP transcription factor, putative (DUF630 and DUF632)(AT4G39790)","AT4G39790"
"AT5G09976",9588,0.36,"hypothetical protein(AT5G09976)","AT5G09976"
"AT5G12050",9825,0.36,"rho GTPase-activating protein(AT5G12050)","AT5G12050"
"AT5G12440",9845,0.36,"CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein(AT5G12440)","AT5G12440"
"AT5G13880",9845,0.36,"cotton fiber protein(AT5G13880)","AT5G13880"
"AT5G14650",9944,0.36,"Pectin lyase-like superfamily protein(AT5G14650)","AT5G14650"
"AT5G18620",9531,0.36,"chromatin remodeling factor17(CHR17)","CHR17"
"AT5G21060",9518,0.36,"Glyceraldehyde-3-phosphate dehydrogenase-like family protein(AT5G21060)","AT5G21060"
"AT5G23580",9526,0.36,"calmodulin-like domain protein kinase 9(CDPK9)","CDPK9"
"AT5G23860",9874,0.36,"tubulin beta 8(TUB8)","TUB8"
"AT5G27740",9567,0.36,"ATPase family associated with various cellular activities (AAA)(EMB2775)","EMB2775"
"AT5G35777",9522,0.36,"hypothetical protein(AT5G35777)","AT5G35777"
"AT5G40020",9588,0.36,"Pathogenesis-related thaumatin superfamily protein(AT5G40020)","AT5G40020"
"AT5G42290",9845,0.36,"transcription activator-like protein(AT5G42290)","AT5G42290"
"AT5G46840",9522,0.36,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G46840)","AT5G46840"
"AT5G48630",9533,0.36,"Cyclin family protein(AT5G48630)","AT5G48630"
"AT5G54200",9844,0.36,"Transducin/WD40 repeat-like superfamily protein(AT5G54200)","AT5G54200"
"AT5G57410",9586,0.36,"Afadin/alpha-actinin-binding protein(AT5G57410)","AT5G57410"
"ATCG00480",9531,0.36,"ATPB","ATPB"
"AT1G01760",9543,0.35,"denosine deaminases acting on tRNA(AT1G01760)","AT1G01760"
"AT1G02400",8357,0.35,"gibberellin 2-oxidase 6(GA2OX6)","GA2OX6"
"AT1G04190",9533,0.35,"Tetratricopeptide repeat (TPR)-like superfamily protein(TPR3)","TPR3"
"AT1G09530",9825,0.35,"phytochrome interacting factor 3(PIF3)","PIF3"
"AT1G10240",9855,0.35,"FAR1-related sequence 11(FRS11)","FRS11"
"AT1G11500",9598,0.35,"transmembrane protein, putative (DUF1218)(AT1G11500)","AT1G11500"
"AT1G13350",9874,0.35,"Protein kinase superfamily protein(AT1G13350)","AT1G13350"
"AT1G17235",9550,0.35,"ROTUNDIFOLIA like 11(RTFL11)","RTFL11"
"AT1G18620",9524,0.35,"LONGIFOLIA protein(TRM3)","TRM3"
"AT1G18800",9598,0.35,"NAP1-related protein 2(NRP2)","NRP2"
"AT1G18990",9522,0.35,"myosin-binding protein, putative (Protein of unknown function, DUF593)(AT1G18990)","AT1G18990"
"AT1G24010",9550,0.35,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G24010)","AT1G24010"
"AT1G27400",9845,0.35,"Ribosomal protein L22p/L17e family protein(AT1G27400)","AT1G27400"
"AT1G32120",9518,0.35,"serine/threonine-protein phosphatase 7 long form-like protein(AT1G32120)","AT1G32120"
"AT1G53190",9547,0.35,"RING/U-box superfamily protein(AT1G53190)","AT1G53190"
"AT1G69420",9598,0.35,"DHHC-type zinc finger family protein(AT1G69420)","AT1G69420"
"AT1G70200",9845,0.35,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G70200)","AT1G70200"
"AT1G77250",9825,0.35,"RING/FYVE/PHD-type zinc finger family protein(AT1G77250)","AT1G77250"
"AT1G78320",9601,0.35,"glutathione S-transferase TAU 23(GSTU23)","GSTU23"
"AT1G79700",9832,0.35,"Integrase-type DNA-binding superfamily protein(WRI4)","WRI4"
"AT2G05380",9855,0.35,"glycine-rich protein 3 short isoform(GRP3S)","GRP3S"
"AT2G05540",9524,0.35,"Glycine-rich protein family(AT2G05540)","AT2G05540"
"AT2G17880",9568,0.35,"Chaperone DnaJ-domain superfamily protein(AT2G17880)","AT2G17880"
"AT2G18876",9522,0.35,"Afadin/alpha-actinin-binding protein(AT2G18876)","AT2G18876"
"AT2G19730",9533,0.35,"Ribosomal L28e protein family(AT2G19730)","AT2G19730"
"AT2G27285",9593,0.35,"nuclear speckle splicing regulatory-like protein (DUF2040)(AT2G27285)","AT2G27285"
"AT2G28056",9593,0.35,"ncRNA(MIR172a)","MIR172a"
"AT2G30540",9518,0.35,"Thioredoxin superfamily protein(AT2G30540)","AT2G30540"
"AT2G31141",9871,0.35,"hypothetical protein(AT2G31141)","AT2G31141"
"AT2G32660",9944,0.35,"receptor like protein 22(RLP22)","RLP22"
"AT2G36815",9871,0.35,"mid region of cactin(AT2G36815)","AT2G36815"
"AT2G46810",9550,0.35,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G46810)","AT2G46810"
"AT2G47630",9588,0.35,"alpha/beta-Hydrolases superfamily protein(AT2G47630)","AT2G47630"
"AT3G07210",9819,0.35,"hypothetical protein(AT3G07210)","AT3G07210"
"AT3G13222",9522,0.35,"GBF-interacting protein 1(GIP1)","GIP1"
"AT3G15070",9531,0.35,"RING/U-box superfamily protein(AT3G15070)","AT3G15070"
"AT3G15770",9587,0.35,"hypothetical protein(AT3G15770)","AT3G15770"
"AT3G18040",9601,0.35,"MAP kinase 9(MPK9)","MPK9"
"AT3G19790",9598,0.35,"hypothetical protein(AT3G19790)","AT3G19790"
"AT3G23050",9567,0.35,"indole-3-acetic acid 7(IAA7)","IAA7"
"AT3G23310",9526,0.35,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT3G23310)","AT3G23310"
"AT3G31023",9524,0.35,"hypothetical protein(AT3G31023)","AT3G31023"
"AT3G49960",9844,0.35,"Peroxidase superfamily protein(AT3G49960)","AT3G49960"
"AT3G50450",9518,0.35,"homolog of RPW8 1(HR1)","HR1"
"AT3G51880",9524,0.35,"high mobility group B1(HMGB1)","HMGB1"
"AT3G52090",9819,0.35,"DNA-directed RNA polymerase, RBP11-like protein(NRPB11)","NRPB11"
"AT3G54740",9880,0.35,"zein-binding protein (Protein of unknown function, DUF593)(AT3G54740)","AT3G54740"
"AT3G55720",9855,0.35,"replication factor C subunit, putative (DUF620)(AT3G55720)","AT3G55720"
"AT3G60290",9874,0.35,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G60290)","AT3G60290"
"AT3G61260",9844,0.35,"Remorin family protein(AT3G61260)","AT3G61260"
"AT3G63280",9567,0.35,"NIMA-related kinase 4(NEK4)","NEK4"
"AT4G01540",9518,0.35,"NAC with transmembrane motif1(NTM1)","NTM1"
"AT4G01680",9586,0.35,"myb domain protein 55(MYB55)","MYB55"
"AT4G05520",9846,0.35,"EPS15 homology domain 2(EHD2)","EHD2"
"AT4G09160",9844,0.35,"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein(AT4G09160)","AT4G09160"
"AT4G09590",9584,0.35,"NDR1/HIN1-like 22(NHL22)","NHL22"
"AT4G16141",9560,0.35,"GATA type zinc finger transcription factor family protein(AT4G16141)","AT4G16141"
"AT4G16670",9526,0.35,"auxin canalization protein (DUF828)(AT4G16670)","AT4G16670"
"AT4G21060",9874,0.35,"Galactosyltransferase family protein(AT4G21060)","AT4G21060"
"AT4G21190",9547,0.35,"Pentatricopeptide repeat (PPR) superfamily protein(emb1417)","emb1417"
"AT4G28590",9871,0.35,"polyadenylate-binding protein 2-binding protein(MRL7)","MRL7"
"AT4G38980",9593,0.35,"hypothetical protein(AT4G38980)","AT4G38980"
"AT4G39403",9871,0.35,"polari(PLS)","PLS"
"AT5G02540",9598,0.35,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G02540)","AT5G02540"
"AT5G09650",9593,0.35,"pyrophosphorylase 6(PPa6)","PPa6"
"AT5G13460",9601,0.35,"IQ-domain 11(IQD11)","IQD11"
"AT5G14460",9568,0.35,"Pseudouridine synthase family protein(AT5G14460)","AT5G14460"
"AT5G16720",9846,0.35,"caldesmon-like protein (Protein of unknown function, DUF593)(AT5G16720)","AT5G16720"
"AT5G17900",9944,0.35,"microfibrillar-associated protein-like protein(AT5G17900)","AT5G17900"
"AT5G18050",9560,0.35,"SAUR-like auxin-responsive protein family(SAUR22)","SAUR22"
"AT5G22220",9567,0.35,"E2F transcription factor 1(E2F1)","E2F1"
"AT5G22490",9524,0.35,"O-acyltransferase (WSD1-like) family protein(AT5G22490)","AT5G22490"
"AT5G22520",9533,0.35,"hypothetical protein(AT5G22520)","AT5G22520"
"AT5G26770",9524,0.35,"myosin heavy chain, cardiac protein(AT5G26770)","AT5G26770"
"AT5G28060",9584,0.35,"Ribosomal protein S24e family protein(AT5G28060)","AT5G28060"
"AT5G35790",9524,0.35,"glucose-6-phosphate dehydrogenase 1(G6PD1)","G6PD1"
"AT5G44569",9588,0.35,"ncRNA(AT5G44569)","AT5G44569"
"AT5G47430",9598,0.35,"DWNN domain, a CCHC-type zinc finger(AT5G47430)","AT5G47430"
"AT5G51180",9819,0.35,"alpha/beta-Hydrolases superfamily protein(AT5G51180)","AT5G51180"
"AT5G52600",9550,0.35,"myb domain protein 82(MYB82)","MYB82"
"AT5G54510",9557,0.35,"Auxin-responsive GH3 family protein(DFL1)","DFL1"
"AT5G60670",9845,0.35,"Ribosomal protein L11 family protein(AT5G60670)","AT5G60670"
"AT5G61920",6970,0.35,"FLX-like protein(AT5G61920)","AT5G61920"
"AT5G64600",9560,0.35,"O-fucosyltransferase family protein(AT5G64600)","AT5G64600"
"AT1G04040",9846,0.34,"HAD superfamily, subfamily IIIB acid phosphatase(AT1G04040)","AT1G04040"
"AT1G06720",9601,0.34,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06720)","AT1G06720"
"AT1G09280",9905,0.34,"rhodanese-like domain protein(AT1G09280)","AT1G09280"
"AT1G10870",9832,0.34,"ARF-GAP domain 4(AGD4)","AGD4"
"AT1G12120",9568,0.34,"hypothetical protein (DUF863)(AT1G12120)","AT1G12120"
"AT1G14890",9598,0.34,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G14890)","AT1G14890"
"AT1G15630",9846,0.34,"transmembrane protein(AT1G15630)","AT1G15630"
"AT1G19371",9533,0.34,"ncRNA(MIR169h)","MIR169h"
"AT1G20220",9825,0.34,"Alba DNA/RNA-binding protein(AT1G20220)","AT1G20220"
"AT1G21060",9871,0.34,"Serine/Threonine-kinase, putative (Protein of unknown function, DUF547)(AT1G21060)","AT1G21060"
"AT1G29250",9586,0.34,"Alba DNA/RNA-binding protein(AT1G29250)","AT1G29250"
"AT1G29420",8357,0.34,"SAUR-like auxin-responsive protein family(AT1G29420)","AT1G29420"
"AT1G29770",9905,0.34,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT1G29770)","AT1G29770"
"AT1G31040",9586,0.34,"PLATZ transcription factor family protein(AT1G31040)","AT1G31040"
"AT1G31173",9844,0.34,"ncRNA(MIR167d)","MIR167d"
"AT1G52930",9588,0.34,"Ribosomal RNA processing Brix domain protein(AT1G52930)","AT1G52930"
"AT1G56510",9560,0.34,"Disease resistance protein (TIR-NBS-LRR class)(WRR4)","WRR4"
"AT1G61340",9825,0.34,"F-box family protein(FBS1)","FBS1"
"AT1G63310",9526,0.34,"hypothetical protein(AT1G63310)","AT1G63310"
"AT1G68140",9874,0.34,"zinc finger/BTB domain protein, putative (DUF1644)(AT1G68140)","AT1G68140"
"AT1G68290",9557,0.34,"endonuclease 2(ENDO2)","ENDO2"
"AT1G70100",9587,0.34,"neurofilament heavy protein(AT1G70100)","AT1G70100"
"AT1G70170",9819,0.34,"matrix metalloproteinase(MMP)","MMP"
"AT1G70210",9846,0.34,"CYCLIN D1;1(CYCD1;1)","CYCD1;1"
"AT1G73830",9871,0.34,"BR enhanced expression 3(BEE3)","BEE3"
"AT1G73890",9522,0.34,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73890)","AT1G73890"
"AT1G74490",6970,0.34,"Protein kinase superfamily protein(AT1G74490)","AT1G74490"
"AT1G76560",9825,0.34,"CP12 domain-containing protein 3(CP12-3)","CP12-3"
"AT1G78170",9531,0.34,"E3 ubiquitin-protein ligase(AT1G78170)","AT1G78170"
"AT1G80980",9557,0.34,"stress response NST1-like protein(AT1G80980)","AT1G80980"
"AT2G01818",9601,0.34,"PLATZ transcription factor family protein(AT2G01818)","AT2G01818"
"AT2G04490",9944,0.34,"hypothetical protein(AT2G04490)","AT2G04490"
"AT2G14660",8357,0.34,"thymocyte nuclear-like protein(AT2G14660)","AT2G14660"
"AT2G17320",9845,0.34,"pantothenate kinase(AT2G17320)","AT2G17320"
"AT2G21860",9533,0.34,"violaxanthin de-epoxidase-like protein(AT2G21860)","AT2G21860"
"AT2G27840",9518,0.34,"histone deacetylase-related / HD-like protein(HDT4)","HDT4"
"AT2G32190",9844,0.34,"cysteine-rich/transmembrane domain A-like protein(AT2G32190)","AT2G32190"
"AT2G43120",9543,0.34,"RmlC-like cupins superfamily protein(AT2G43120)","AT2G43120"
"AT2G43650",9874,0.34,"Sas10/U3 ribonucleoprotein (Utp) family protein(EMB2777)","EMB2777"
"AT2G47980",9588,0.34,"sister-chromatid cohesion protein 3(SCC3)","SCC3"
"AT3G02493",9586,0.34,"ROTUNDIFOLIA like 19(RTFL19)","RTFL19"
"AT3G07880",9819,0.34,"Immunoglobulin E-set superfamily protein(SCN1)","SCN1"
"AT3G19300",9547,0.34,"Protein kinase superfamily protein(AT3G19300)","AT3G19300"
"AT3G23030",9560,0.34,"indole-3-acetic acid inducible 2(IAA2)","IAA2"
"AT3G29130",9526,0.34,"kxDL motif protein(AT3G29130)","AT3G29130"
"AT3G43575",9543,0.34,"hypothetical protein(AT3G43575)","AT3G43575"
"AT3G52660",9547,0.34,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G52660)","AT3G52660"
"AT3G56230",9543,0.34,"BTB/POZ domain-containing protein(AT3G56230)","AT3G56230"
"AT3G57290",9547,0.34,"eukaryotic translation initiation factor 3E(EIF3E)","EIF3E"
"AT3G59670",9531,0.34,"elongation factor(AT3G59670)","AT3G59670"
"AT3G60770",9531,0.34,"Ribosomal protein S13/S15(AT3G60770)","AT3G60770"
"AT4G00560",9871,0.34,"NAD(P)-binding Rossmann-fold superfamily protein(AT4G00560)","AT4G00560"
"AT4G01120",9845,0.34,"G-box binding factor 2(GBF2)","GBF2"
"AT4G01430",9832,0.34,"nodulin MtN21 /EamA-like transporter family protein(UMAMIT29)","UMAMIT29"
"AT4G01520",9905,0.34,"NAC domain containing protein 67(NAC067)","NAC067"
"AT4G01650",9567,0.34,"Polyketide cyclase / dehydrase and lipid transport protein(AT4G01650)","AT4G01650"
"AT4G02020",9846,0.34,"SET domain-containing protein(SWN)","SWN"
"AT4G03090",9880,0.34,"sequence-specific DNA binding transcription factor ATNDX(AT4G03090)","AT4G03090"
"AT4G07820",9844,0.34,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G07820)","AT4G07820"
"AT4G10480",9844,0.34,"Nascent polypeptide-associated complex (NAC), alpha subunit family protein(AT4G10480)","AT4G10480"
"AT4G12420",9825,0.34,"Cupredoxin superfamily protein(SKU5)","SKU5"
"AT4G14130",9819,0.34,"xyloglucan endotransglucosylase/hydrolase 15(XTH15)","XTH15"
"AT4G18425",9568,0.34,"transmembrane protein, putative (DUF679)(AT4G18425)","AT4G18425"
"AT4G19710",9944,0.34,"aspartate kinase-homoserine dehydrogenase ii(AK-HSDH II)","AK-HSDH II"
"AT4G23860",8357,0.34,"PHD finger protein-like protein(AT4G23860)","AT4G23860"
"AT4G27140",9593,0.34,"seed storage albumin 1(SESA1)","SESA1"
"AT4G27450",9560,0.34,"aluminum induced protein with YGL and LRDR motifs(AT4G27450)","AT4G27450"
"AT4G28020",9526,0.34,"tRNA-thr(GGU) m(6)t(6)A37 methyltransferase(AT4G28020)","AT4G28020)"
"AT4G28950",9874,0.34,"RHO-related protein from plants 9(ROP9)","ROP9"
"AT4G32280",9533,0.34,"indole-3-acetic acid inducible 29(IAA29)","IAA29"
"AT4G35655",9874,0.34,"RPM1-interacting protein 4 (RIN4) family protein(AT4G35655)","AT4G35655"
"AT4G37280",9593,0.34,"MRG family protein(AT4G37280)","AT4G37280"
"AT4G39460",9944,0.34,"S-adenosylmethionine carrier 1(SAMC1)","SAMC1"
"AT4G39900",9533,0.34,"adenine deaminase(AT4G39900)","AT4G39900"
"AT5G04320",9844,0.34,"Shugoshin C terminus(AT5G04320)","AT5G04320"
"AT5G05510",8357,0.34,"Mad3/BUB1 homology region 1(AT5G05510)","AT5G05510"
"AT5G24310",9543,0.34,"ABL interactor-like protein 3(ABIL3)","ABIL3"
"AT5G27940",9518,0.34,"WPP domain protein 3(WPP3)","WPP3"
"AT5G41761",9533,0.34,"hypothetical protein(AT5G41761)","AT5G41761"
"AT5G41880",9601,0.34,"DNA primase POLA3(POLA3)","POLA3"
"AT5G51790",9547,0.34,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT5G51790)","AT5G51790"
"AT5G52900",9524,0.34,"membrane-associated kinase regulator(MAKR6)","MAKR6"
